"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 16:26:21 GMT 2022","Sun Jul 03 16:26:21 GMT 2022","324","","TestArtists","","TestArtists","addArtistsRepeatedly","[9] DAY6, JYP",""
"passed","Sun Jul 03 16:26:55 GMT 2022","Sun Jul 03 16:26:58 GMT 2022","2645","","TestLogin","","TestLogin","correctFailedLoginMessage","correctFailedLoginMessage()",""
"passed","Sun Jul 03 16:26:18 GMT 2022","Sun Jul 03 16:26:19 GMT 2022","325","","TestArtists","","TestArtists","addArtistsRepeatedly","[3] Winner, YG",""
"passed","Sun Jul 03 16:26:21 GMT 2022","Sun Jul 03 16:26:21 GMT 2022","320","","TestMyTranslation","","TestMyTranslation","deleteMyTranslation","deleteMyTranslation()",""
"passed","Sun Jul 03 16:26:21 GMT 2022","Sun Jul 03 16:26:22 GMT 2022","323","","TestMusics","","TestMusics","addNewMusic","addNewMusic()",""
"passed","Sun Jul 03 16:26:22 GMT 2022","Sun Jul 03 16:26:22 GMT 2022","325","","TestAlbums","","TestAlbums","checkingPaginationNextButton","checkingPaginationNextButton()",""
"passed","Sun Jul 03 16:26:19 GMT 2022","Sun Jul 03 16:26:20 GMT 2022","321","","TestArtists","","TestArtists","addArtistsRepeatedly","[5] Treasure, YG",""
"passed","Sun Jul 03 16:26:21 GMT 2022","Sun Jul 03 16:26:21 GMT 2022","315","","TestArtists","","TestArtists","addArtistsRepeatedly","[10] ONEUS, RBW Entertainment",""
"passed","Sun Jul 03 16:26:22 GMT 2022","Sun Jul 03 16:26:22 GMT 2022","318","","TestMusics","","TestMusics","modifyMusicDetails","modifyMusicDetails()",""
"passed","Sun Jul 03 16:27:33 GMT 2022","Sun Jul 03 16:27:33 GMT 2022","323","","TestHome","","TestHome","collectDataFromHomepage","collectDataFromHomepage()",""
"passed","Sun Jul 03 16:27:33 GMT 2022","Sun Jul 03 16:27:33 GMT 2022","321","","TestEntertainments","","TestEntertainments","verifyThatAllEntertainmentsAreDisplayed","verifyThatAllEntertainmentsAreDisplayed()",""
"passed","Sun Jul 03 16:26:17 GMT 2022","Sun Jul 03 16:26:18 GMT 2022","933","","TestLogout","","TestLogout","successfulLogout","successfulLogout()",""
"broken","Sun Jul 03 16:26:22 GMT 2022","Sun Jul 03 16:26:55 GMT 2022","32554","","TestLogin","","TestLogin","displayFailedLoginMessage","displayFailedLoginMessage()",""
"passed","Sun Jul 03 16:26:19 GMT 2022","Sun Jul 03 16:26:19 GMT 2022","365","","TestArtists","","TestArtists","addArtistsRepeatedly","[4] Pentagon, Cube",""
"passed","Sun Jul 03 16:27:30 GMT 2022","Sun Jul 03 16:27:33 GMT 2022","2620","","TestRegistration","","TestRegistration","unsuccessfulRegistration","Sikertelen regisztráció","Már regisztrált felhasználónévvel és email címmel történő regisztráció a DT-12 alapján"
"passed","Sun Jul 03 16:26:20 GMT 2022","Sun Jul 03 16:26:20 GMT 2022","339","","TestArtists","","TestArtists","addArtistsRepeatedly","[7] GOT7, JYP",""
"broken","Sun Jul 03 16:26:58 GMT 2022","Sun Jul 03 16:27:30 GMT 2022","32479","","TestRegistration","","TestRegistration","successfulRegistration","Sikeres regisztráció","Sikeres regisztráció, mivel mindegyik beviteli mező valid adatot tartalmaz (DT-1 alapján)"
"passed","Sun Jul 03 16:26:20 GMT 2022","Sun Jul 03 16:26:21 GMT 2022","325","","TestArtists","","TestArtists","addArtistsRepeatedly","[8] CLC, Cube",""
"passed","Sun Jul 03 16:26:18 GMT 2022","Sun Jul 03 16:26:18 GMT 2022","422","","TestArtists","","TestArtists","addArtistsRepeatedly","[1] iKON, YG",""
"passed","Sun Jul 03 16:26:18 GMT 2022","Sun Jul 03 16:26:18 GMT 2022","328","","TestArtists","","TestArtists","addArtistsRepeatedly","[2] BTOB, Cube",""
"passed","Sun Jul 03 16:26:20 GMT 2022","Sun Jul 03 16:26:20 GMT 2022","329","","TestArtists","","TestArtists","addArtistsRepeatedly","[6] (G)I-dle, Cube",""
