"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 17:42:19 GMT 2022","Sun Jul 03 17:42:20 GMT 2022","396","","TestEntertainments","","TestEntertainments","verifyThatAllEntertainmentsAreDisplayed","verifyThatAllEntertainmentsAreDisplayed()",""
"passed","Sun Jul 03 17:41:04 GMT 2022","Sun Jul 03 17:41:05 GMT 2022","369","","TestMyTranslation","","TestMyTranslation","deleteMyTranslation","deleteMyTranslation()",""
"passed","Sun Jul 03 17:41:02 GMT 2022","Sun Jul 03 17:41:03 GMT 2022","369","","TestArtists","","TestArtists","addArtistsRepeatedly","[6] (G)I-dle, Cube",""
"passed","Sun Jul 03 17:41:00 GMT 2022","Sun Jul 03 17:41:01 GMT 2022","476","","TestArtists","","TestArtists","addArtistsRepeatedly","[1] iKON, YG",""
"passed","Sun Jul 03 17:41:02 GMT 2022","Sun Jul 03 17:41:02 GMT 2022","436","","TestArtists","","TestArtists","addArtistsRepeatedly","[4] Pentagon, Cube",""
"passed","Sun Jul 03 17:41:01 GMT 2022","Sun Jul 03 17:41:01 GMT 2022","383","","TestArtists","","TestArtists","addArtistsRepeatedly","[2] BTOB, Cube",""
"broken","Sun Jul 03 17:41:05 GMT 2022","Sun Jul 03 17:41:38 GMT 2022","32475","","TestLogin","","TestLogin","displayFailedLoginMessage","displayFailedLoginMessage()",""
"passed","Sun Jul 03 17:41:38 GMT 2022","Sun Jul 03 17:41:41 GMT 2022","3067","","TestLogin","","TestLogin","correctFailedLoginMessage","correctFailedLoginMessage()",""
"passed","Sun Jul 03 17:41:05 GMT 2022","Sun Jul 03 17:41:05 GMT 2022","376","","TestAlbums","","TestAlbums","checkingPaginationNextButton","checkingPaginationNextButton()",""
"passed","Sun Jul 03 17:42:19 GMT 2022","Sun Jul 03 17:42:19 GMT 2022","379","","TestHome","","TestHome","collectDataFromHomepage","collectDataFromHomepage()",""
"passed","Sun Jul 03 17:41:04 GMT 2022","Sun Jul 03 17:41:04 GMT 2022","388","","TestArtists","","TestArtists","addArtistsRepeatedly","[9] DAY6, JYP",""
"passed","Sun Jul 03 17:41:03 GMT 2022","Sun Jul 03 17:41:03 GMT 2022","399","","TestArtists","","TestArtists","addArtistsRepeatedly","[7] GOT7, JYP",""
"passed","Sun Jul 03 17:41:01 GMT 2022","Sun Jul 03 17:41:02 GMT 2022","431","","TestArtists","","TestArtists","addArtistsRepeatedly","[3] Winner, YG",""
"passed","Sun Jul 03 17:40:57 GMT 2022","Sun Jul 03 17:41:00 GMT 2022","2197","","TestMusics","","TestMusics","addNewMusic","addNewMusic()",""
"broken","Sun Jul 03 17:41:41 GMT 2022","Sun Jul 03 17:42:16 GMT 2022","35067","","TestRegistration","","TestRegistration","successfulRegistration","Sikeres regisztráció","Sikeres regisztráció, mivel mindegyik beviteli mező valid adatot tartalmaz (DT-1 alapján)"
"passed","Sun Jul 03 17:41:02 GMT 2022","Sun Jul 03 17:41:02 GMT 2022","379","","TestArtists","","TestArtists","addArtistsRepeatedly","[5] Treasure, YG",""
"passed","Sun Jul 03 17:41:00 GMT 2022","Sun Jul 03 17:41:00 GMT 2022","497","","TestMusics","","TestMusics","modifyMusicDetails","modifyMusicDetails()",""
"passed","Sun Jul 03 17:40:58 GMT 2022","Sun Jul 03 17:41:00 GMT 2022","2205","","TestLogout","","TestLogout","successfulLogout","successfulLogout()",""
"passed","Sun Jul 03 17:41:03 GMT 2022","Sun Jul 03 17:41:04 GMT 2022","380","","TestArtists","","TestArtists","addArtistsRepeatedly","[8] CLC, Cube",""
"passed","Sun Jul 03 17:42:16 GMT 2022","Sun Jul 03 17:42:19 GMT 2022","3135","","TestRegistration","","TestRegistration","unsuccessfulRegistration","Sikertelen regisztráció","Már regisztrált felhasználónévvel és email címmel történő regisztráció a DT-12 alapján"
"passed","Sun Jul 03 17:41:04 GMT 2022","Sun Jul 03 17:41:04 GMT 2022","369","","TestArtists","","TestArtists","addArtistsRepeatedly","[10] ONEUS, RBW Entertainment",""
