"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 04 23:31:33 GMT 2022","Mon Jul 04 23:31:36 GMT 2022","2612","","TestLogin","","TestLogin","correctFailedLoginMessage","Sikertelen bejelentkezés","Bejelentkezés tesztelése hibás belépési adatokkal (DT-8 alapján)"
"passed","Mon Jul 04 23:31:27 GMT 2022","Mon Jul 04 23:31:33 GMT 2022","5747","","TestLogin","","TestLogin","successfulLogin","Sikeres bejelentkezés","Bejelentkezés tesztelése valós belépési adatokkal (DT-1 alapján)"
"passed","Mon Jul 04 23:32:56 GMT 2022","Mon Jul 04 23:33:04 GMT 2022","8208","","TestArtists","","TestArtists","addArtistsRepeatedly","Ismételt adat bevitel külső adataforrásból [10] ONEUS, RBW Entertainment","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"passed","Mon Jul 04 23:31:36 GMT 2022","Mon Jul 04 23:31:42 GMT 2022","6097","","TestLogout","","TestLogout","successfulLogout","Kijelentkezés tesztelése","Kijelentkezés felhasználói fiókból"
"skipped","Mon Jul 04 23:33:11 GMT 2022","Mon Jul 04 23:33:11 GMT 2022","0","","TestMusics","","TestMusics","modifyMusicDetails","modifyMusicDetails()",""
"passed","Mon Jul 04 23:31:49 GMT 2022","Mon Jul 04 23:31:57 GMT 2022","7280","","TestArtists","","TestArtists","addArtistsRepeatedly","Ismételt adat bevitel külső adataforrásból [2] BTOB, Cube","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"passed","Mon Jul 04 23:32:11 GMT 2022","Mon Jul 04 23:32:19 GMT 2022","7760","","TestArtists","","TestArtists","addArtistsRepeatedly","Ismételt adat bevitel külső adataforrásból [5] Treasure, YG","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"passed","Mon Jul 04 23:32:48 GMT 2022","Mon Jul 04 23:32:56 GMT 2022","8574","","TestArtists","","TestArtists","addArtistsRepeatedly","Ismételt adat bevitel külső adataforrásból [9] DAY6, JYP","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"passed","Mon Jul 04 23:33:15 GMT 2022","Mon Jul 04 23:33:18 GMT 2022","3124","","TestAlbums","","TestAlbums","checkingPaginationChangeContent","Lapozás tesztelése az Albumok oldalon","Annak ellenőrzése, hogy a lapozás során változik-e az oldal tartalom"
"passed","Mon Jul 04 23:31:42 GMT 2022","Mon Jul 04 23:31:49 GMT 2022","7421","","TestArtists","","TestArtists","addArtistsRepeatedly","Ismételt adat bevitel külső adataforrásból [1] iKON, YG","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"skipped","Mon Jul 04 23:33:18 GMT 2022","Mon Jul 04 23:33:18 GMT 2022","0","","TestHome","","TestHome","collectDataFromHomepage","collectDataFromHomepage()",""
"skipped","Mon Jul 04 23:33:11 GMT 2022","Mon Jul 04 23:33:11 GMT 2022","0","","TestMusics","","TestMusics","addNewMusic","addNewMusic()",""
"skipped","Mon Jul 04 23:31:20 GMT 2022","Mon Jul 04 23:31:20 GMT 2022","3","","TestRegistration","","TestRegistration","successfulRegistration","Sikeres regisztráció","Sikeres regisztráció, mivel mindegyik beviteli mező valid adatot tartalmaz (DT-1 alapján)"
"passed","Mon Jul 04 23:31:20 GMT 2022","Mon Jul 04 23:31:25 GMT 2022","5142","","TestRegistration","","TestRegistration","unsuccessfulRegistration","Sikertelen regisztráció","Már regisztrált felhasználónévvel és email címmel történő regisztráció a DT-12 alapján"
"passed","Mon Jul 04 23:32:30 GMT 2022","Mon Jul 04 23:32:39 GMT 2022","8938","","TestArtists","","TestArtists","addArtistsRepeatedly","Ismételt adat bevitel külső adataforrásból [7] GOT7, JYP","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"passed","Mon Jul 04 23:33:18 GMT 2022","Mon Jul 04 23:33:20 GMT 2022","2034","","TestEntertainments","","TestEntertainments","verifyThatAllEntertainmentsAreDisplayed","Kiadók nevének kilistázása","Az összes kiadó nevének kilistázása"
"passed","Mon Jul 04 23:32:04 GMT 2022","Mon Jul 04 23:32:11 GMT 2022","7213","","TestArtists","","TestArtists","addArtistsRepeatedly","Ismételt adat bevitel külső adataforrásból [4] Pentagon, Cube","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"passed","Mon Jul 04 23:31:57 GMT 2022","Mon Jul 04 23:32:04 GMT 2022","7387","","TestArtists","","TestArtists","addArtistsRepeatedly","Ismételt adat bevitel külső adataforrásból [3] Winner, YG","Előre meghatározott előadók hozzáadása csv kiterjesztésű fájlból"
"passed","Mon Jul 04 23:31:25 GMT 2022","Mon Jul 04 23:31:27 GMT 2022","2571","","TestLogin","","TestLogin","loginWithoutActivatingUserProfile","Bejelentkezés inaktív fiókba","Bejelentkezés valós belépési adatokkal, nem aktivált fiókba (DT-3 alapján)"
"passed","Mon Jul 04 23:33:11 GMT 2022","Mon Jul 04 23:33:15 GMT 2022","3998","","TestAlbums","","TestAlbums","checkingPaginationNextButton","Lapozási gomb eltűnésének tesztelése az Albumok oldalon","Lapozási gomb eltűnésének tesztelése az Albumok oldalon"
