"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Bejelentkezés","","0","0","3","0","0"
"","","","0","0","10","0","0"
"","Kijelentkezés","","0","0","1","0","0"
"","","","0","0","0","3","0"
"","Több oldalas lista bejárása","","0","0","2","0","0"
"","Regisztráció","","0","0","1","1","0"
"","Adatok kilistázása","","0","0","1","0","0"
"","Felhasználó által hozzáadtott fordítás törlése","","0","0","1","0","0"
