"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 16:45:51 GMT 2022","Sun Jul 03 16:45:52 GMT 2022","330","","TestEntertainments","","TestEntertainments","verifyThatAllEntertainmentsAreDisplayed","verifyThatAllEntertainmentsAreDisplayed()",""
"passed","Sun Jul 03 16:44:39 GMT 2022","Sun Jul 03 16:44:39 GMT 2022","316","","TestMyTranslation","","TestMyTranslation","deleteMyTranslation","deleteMyTranslation()",""
"passed","Sun Jul 03 16:45:48 GMT 2022","Sun Jul 03 16:45:51 GMT 2022","2736","","TestRegistration","","TestRegistration","unsuccessfulRegistration","Sikertelen regisztráció","Már regisztrált felhasználónévvel és email címmel történő regisztráció a DT-12 alapján"
"passed","Sun Jul 03 16:45:13 GMT 2022","Sun Jul 03 16:45:15 GMT 2022","2134","","TestLogin","","TestLogin","correctFailedLoginMessage","correctFailedLoginMessage()",""
"passed","Sun Jul 03 16:44:38 GMT 2022","Sun Jul 03 16:44:38 GMT 2022","342","","TestArtists","","TestArtists","addArtistsRepeatedly","[7] GOT7, JYP",""
"passed","Sun Jul 03 16:44:37 GMT 2022","Sun Jul 03 16:44:37 GMT 2022","342","","TestArtists","","TestArtists","addArtistsRepeatedly","[4] Pentagon, Cube",""
"passed","Sun Jul 03 16:44:35 GMT 2022","Sun Jul 03 16:44:36 GMT 2022","386","","TestArtists","","TestArtists","addArtistsRepeatedly","[1] iKON, YG",""
"passed","Sun Jul 03 16:45:51 GMT 2022","Sun Jul 03 16:45:51 GMT 2022","324","","TestHome","","TestHome","collectDataFromHomepage","collectDataFromHomepage()",""
"passed","Sun Jul 03 16:44:40 GMT 2022","Sun Jul 03 16:44:40 GMT 2022","313","","TestMusics","","TestMusics","modifyMusicDetails","modifyMusicDetails()",""
"passed","Sun Jul 03 16:44:40 GMT 2022","Sun Jul 03 16:44:40 GMT 2022","317","","TestAlbums","","TestAlbums","checkingPaginationNextButton","checkingPaginationNextButton()",""
"passed","Sun Jul 03 16:44:39 GMT 2022","Sun Jul 03 16:44:40 GMT 2022","322","","TestMusics","","TestMusics","addNewMusic","addNewMusic()",""
"passed","Sun Jul 03 16:44:38 GMT 2022","Sun Jul 03 16:44:38 GMT 2022","320","","TestArtists","","TestArtists","addArtistsRepeatedly","[8] CLC, Cube",""
"passed","Sun Jul 03 16:44:38 GMT 2022","Sun Jul 03 16:44:39 GMT 2022","359","","TestArtists","","TestArtists","addArtistsRepeatedly","[9] DAY6, JYP",""
"passed","Sun Jul 03 16:44:37 GMT 2022","Sun Jul 03 16:44:38 GMT 2022","371","","TestArtists","","TestArtists","addArtistsRepeatedly","[6] (G)I-dle, Cube",""
"broken","Sun Jul 03 16:44:40 GMT 2022","Sun Jul 03 16:45:13 GMT 2022","32526","","TestLogin","","TestLogin","displayFailedLoginMessage","displayFailedLoginMessage()",""
"passed","Sun Jul 03 16:44:36 GMT 2022","Sun Jul 03 16:44:36 GMT 2022","321","","TestArtists","","TestArtists","addArtistsRepeatedly","[2] BTOB, Cube",""
"passed","Sun Jul 03 16:44:34 GMT 2022","Sun Jul 03 16:44:35 GMT 2022","867","","TestLogout","","TestLogout","successfulLogout","successfulLogout()",""
"passed","Sun Jul 03 16:44:39 GMT 2022","Sun Jul 03 16:44:39 GMT 2022","318","","TestArtists","","TestArtists","addArtistsRepeatedly","[10] ONEUS, RBW Entertainment",""
"passed","Sun Jul 03 16:44:37 GMT 2022","Sun Jul 03 16:44:37 GMT 2022","362","","TestArtists","","TestArtists","addArtistsRepeatedly","[5] Treasure, YG",""
"broken","Sun Jul 03 16:45:15 GMT 2022","Sun Jul 03 16:45:48 GMT 2022","33233","","TestRegistration","","TestRegistration","successfulRegistration","Sikeres regisztráció","Sikeres regisztráció, mivel mindegyik beviteli mező valid adatot tartalmaz (DT-1 alapján)"
"passed","Sun Jul 03 16:44:36 GMT 2022","Sun Jul 03 16:44:37 GMT 2022","326","","TestArtists","","TestArtists","addArtistsRepeatedly","[3] Winner, YG",""
