"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 17:22:54 GMT 2022","Sun Jul 03 17:22:54 GMT 2022","328","","TestArtists","","TestArtists","addArtistsRepeatedly","[7] GOT7, JYP",""
"passed","Sun Jul 03 17:22:55 GMT 2022","Sun Jul 03 17:22:56 GMT 2022","332","","TestMyTranslation","","TestMyTranslation","deleteMyTranslation","deleteMyTranslation()",""
"passed","Sun Jul 03 17:22:53 GMT 2022","Sun Jul 03 17:22:54 GMT 2022","351","","TestArtists","","TestArtists","addArtistsRepeatedly","[5] Treasure, YG",""
"broken","Sun Jul 03 17:23:31 GMT 2022","Sun Jul 03 17:24:06 GMT 2022","34569","","TestRegistration","","TestRegistration","successfulRegistration","Sikeres regisztráció","Sikeres regisztráció, mivel mindegyik beviteli mező valid adatot tartalmaz (DT-1 alapján)"
"passed","Sun Jul 03 17:22:56 GMT 2022","Sun Jul 03 17:22:56 GMT 2022","324","","TestMusics","","TestMusics","addNewMusic","addNewMusic()",""
"passed","Sun Jul 03 17:24:09 GMT 2022","Sun Jul 03 17:24:09 GMT 2022","348","","TestEntertainments","","TestEntertainments","verifyThatAllEntertainmentsAreDisplayed","verifyThatAllEntertainmentsAreDisplayed()",""
"passed","Sun Jul 03 17:22:55 GMT 2022","Sun Jul 03 17:22:55 GMT 2022","329","","TestArtists","","TestArtists","addArtistsRepeatedly","[9] DAY6, JYP",""
"passed","Sun Jul 03 17:22:53 GMT 2022","Sun Jul 03 17:22:53 GMT 2022","330","","TestArtists","","TestArtists","addArtistsRepeatedly","[4] Pentagon, Cube",""
"passed","Sun Jul 03 17:22:52 GMT 2022","Sun Jul 03 17:22:52 GMT 2022","418","","TestArtists","","TestArtists","addArtistsRepeatedly","[1] iKON, YG",""
"broken","Sun Jul 03 17:22:57 GMT 2022","Sun Jul 03 17:23:29 GMT 2022","32148","","TestLogin","","TestLogin","displayFailedLoginMessage","displayFailedLoginMessage()",""
"passed","Sun Jul 03 17:22:55 GMT 2022","Sun Jul 03 17:22:55 GMT 2022","325","","TestArtists","","TestArtists","addArtistsRepeatedly","[10] ONEUS, RBW Entertainment",""
"passed","Sun Jul 03 17:23:29 GMT 2022","Sun Jul 03 17:23:31 GMT 2022","2586","","TestLogin","","TestLogin","correctFailedLoginMessage","correctFailedLoginMessage()",""
"passed","Sun Jul 03 17:22:56 GMT 2022","Sun Jul 03 17:22:56 GMT 2022","326","","TestMusics","","TestMusics","modifyMusicDetails","modifyMusicDetails()",""
"passed","Sun Jul 03 17:22:53 GMT 2022","Sun Jul 03 17:22:53 GMT 2022","338","","TestArtists","","TestArtists","addArtistsRepeatedly","[3] Winner, YG",""
"passed","Sun Jul 03 17:22:54 GMT 2022","Sun Jul 03 17:22:54 GMT 2022","334","","TestArtists","","TestArtists","addArtistsRepeatedly","[6] (G)I-dle, Cube",""
"passed","Sun Jul 03 17:22:51 GMT 2022","Sun Jul 03 17:22:52 GMT 2022","924","","TestLogout","","TestLogout","successfulLogout","successfulLogout()",""
"passed","Sun Jul 03 17:22:52 GMT 2022","Sun Jul 03 17:22:53 GMT 2022","364","","TestArtists","","TestArtists","addArtistsRepeatedly","[2] BTOB, Cube",""
"passed","Sun Jul 03 17:22:54 GMT 2022","Sun Jul 03 17:22:55 GMT 2022","348","","TestArtists","","TestArtists","addArtistsRepeatedly","[8] CLC, Cube",""
"passed","Sun Jul 03 17:24:08 GMT 2022","Sun Jul 03 17:24:09 GMT 2022","337","","TestHome","","TestHome","collectDataFromHomepage","collectDataFromHomepage()",""
"passed","Sun Jul 03 17:24:06 GMT 2022","Sun Jul 03 17:24:08 GMT 2022","2406","","TestRegistration","","TestRegistration","unsuccessfulRegistration","Sikertelen regisztráció","Már regisztrált felhasználónévvel és email címmel történő regisztráció a DT-12 alapján"
"passed","Sun Jul 03 17:22:56 GMT 2022","Sun Jul 03 17:22:57 GMT 2022","327","","TestAlbums","","TestAlbums","checkingPaginationNextButton","checkingPaginationNextButton()",""
