"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 19:11:43 GMT 2022","Sun Jul 03 19:11:43 GMT 2022","386","","TestArtists","","TestArtists","addArtistsRepeatedly","addArtistsRepeatedly(String, String) [8] CLC, Cube",""
"broken","Sun Jul 03 19:11:45 GMT 2022","Sun Jul 03 19:12:18 GMT 2022","32464","","TestLogin","","TestLogin","displayFailedLoginMessage","displayFailedLoginMessage()",""
"passed","Sun Jul 03 19:12:20 GMT 2022","Sun Jul 03 19:12:26 GMT 2022","6195","","TestRegistration","","TestRegistration","successfulRegistration","Sikeres regisztráció","Sikeres regisztráció, mivel mindegyik beviteli mező valid adatot tartalmaz (DT-1 alapján)"
"passed","Sun Jul 03 19:11:40 GMT 2022","Sun Jul 03 19:11:40 GMT 2022","516","","TestArtists","","TestArtists","addArtistsRepeatedly","addArtistsRepeatedly(String, String) [1] iKON, YG",""
"passed","Sun Jul 03 19:11:41 GMT 2022","Sun Jul 03 19:11:42 GMT 2022","388","","TestArtists","","TestArtists","addArtistsRepeatedly","addArtistsRepeatedly(String, String) [5] Treasure, YG",""
"passed","Sun Jul 03 19:11:42 GMT 2022","Sun Jul 03 19:11:43 GMT 2022","387","","TestArtists","","TestArtists","addArtistsRepeatedly","addArtistsRepeatedly(String, String) [7] GOT7, JYP",""
"passed","Sun Jul 03 19:12:29 GMT 2022","Sun Jul 03 19:12:30 GMT 2022","390","","TestHome","","TestHome","collectDataFromHomepage","collectDataFromHomepage()",""
"passed","Sun Jul 03 19:11:44 GMT 2022","Sun Jul 03 19:11:44 GMT 2022","399","","TestMyTranslation","","TestMyTranslation","deleteMyTranslation","deleteMyTranslation()",""
"passed","Sun Jul 03 19:12:18 GMT 2022","Sun Jul 03 19:12:20 GMT 2022","2272","","TestLogin","","TestLogin","correctFailedLoginMessage","correctFailedLoginMessage()",""
"passed","Sun Jul 03 19:12:30 GMT 2022","Sun Jul 03 19:12:30 GMT 2022","383","","TestEntertainments","","TestEntertainments","verifyThatAllEntertainmentsAreDisplayed","verifyThatAllEntertainmentsAreDisplayed()",""
"passed","Sun Jul 03 19:11:43 GMT 2022","Sun Jul 03 19:11:44 GMT 2022","383","","TestArtists","","TestArtists","addArtistsRepeatedly","addArtistsRepeatedly(String, String) [10] ONEUS, RBW Entertainment",""
"passed","Sun Jul 03 19:11:41 GMT 2022","Sun Jul 03 19:11:41 GMT 2022","418","","TestArtists","","TestArtists","addArtistsRepeatedly","addArtistsRepeatedly(String, String) [3] Winner, YG",""
"passed","Sun Jul 03 19:11:43 GMT 2022","Sun Jul 03 19:11:43 GMT 2022","405","","TestArtists","","TestArtists","addArtistsRepeatedly","addArtistsRepeatedly(String, String) [9] DAY6, JYP",""
"passed","Sun Jul 03 19:11:41 GMT 2022","Sun Jul 03 19:11:41 GMT 2022","383","","TestArtists","","TestArtists","addArtistsRepeatedly","addArtistsRepeatedly(String, String) [4] Pentagon, Cube",""
"passed","Sun Jul 03 19:11:45 GMT 2022","Sun Jul 03 19:11:45 GMT 2022","393","","TestMusics","","TestMusics","modifyMusicDetails","modifyMusicDetails()",""
"passed","Sun Jul 03 19:11:45 GMT 2022","Sun Jul 03 19:11:45 GMT 2022","382","","TestAlbums","","TestAlbums","checkingPaginationNextButton","checkingPaginationNextButton()",""
"passed","Sun Jul 03 19:11:44 GMT 2022","Sun Jul 03 19:11:45 GMT 2022","379","","TestMusics","","TestMusics","addNewMusic","addNewMusic()",""
"passed","Sun Jul 03 19:11:42 GMT 2022","Sun Jul 03 19:11:42 GMT 2022","390","","TestArtists","","TestArtists","addArtistsRepeatedly","addArtistsRepeatedly(String, String) [6] (G)I-dle, Cube",""
"passed","Sun Jul 03 19:11:40 GMT 2022","Sun Jul 03 19:11:41 GMT 2022","429","","TestArtists","","TestArtists","addArtistsRepeatedly","addArtistsRepeatedly(String, String) [2] BTOB, Cube",""
"passed","Sun Jul 03 19:12:26 GMT 2022","Sun Jul 03 19:12:29 GMT 2022","2823","","TestRegistration","","TestRegistration","unsuccessfulRegistration","Sikertelen regisztráció","Már regisztrált felhasználónévvel és email címmel történő regisztráció a DT-12 alapján"
"passed","Sun Jul 03 19:11:37 GMT 2022","Sun Jul 03 19:11:40 GMT 2022","2656","","TestLogout","","TestLogout","successfulLogout","successfulLogout()",""
