"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sun Jul 03 17:31:00 GMT 2022","Sun Jul 03 17:31:32 GMT 2022","32570","","TestLogin","","TestLogin","displayFailedLoginMessage","displayFailedLoginMessage()",""
"passed","Sun Jul 03 17:30:57 GMT 2022","Sun Jul 03 17:30:57 GMT 2022","359","","TestArtists","","TestArtists","addArtistsRepeatedly","[6] (G)I-dle, Cube",""
"passed","Sun Jul 03 17:30:56 GMT 2022","Sun Jul 03 17:30:57 GMT 2022","384","","TestArtists","","TestArtists","addArtistsRepeatedly","[5] Treasure, YG",""
"passed","Sun Jul 03 17:30:56 GMT 2022","Sun Jul 03 17:30:56 GMT 2022","380","","TestArtists","","TestArtists","addArtistsRepeatedly","[3] Winner, YG",""
"passed","Sun Jul 03 17:30:58 GMT 2022","Sun Jul 03 17:30:58 GMT 2022","346","","TestArtists","","TestArtists","addArtistsRepeatedly","[10] ONEUS, RBW Entertainment",""
"passed","Sun Jul 03 17:31:32 GMT 2022","Sun Jul 03 17:31:35 GMT 2022","2398","","TestLogin","","TestLogin","correctFailedLoginMessage","correctFailedLoginMessage()",""
"passed","Sun Jul 03 17:30:56 GMT 2022","Sun Jul 03 17:30:56 GMT 2022","385","","TestArtists","","TestArtists","addArtistsRepeatedly","[4] Pentagon, Cube",""
"passed","Sun Jul 03 17:30:59 GMT 2022","Sun Jul 03 17:31:00 GMT 2022","335","","TestMusics","","TestMusics","modifyMusicDetails","modifyMusicDetails()",""
"broken","Sun Jul 03 17:31:35 GMT 2022","Sun Jul 03 17:32:10 GMT 2022","34791","","TestRegistration","","TestRegistration","successfulRegistration","Sikeres regisztráció","Sikeres regisztráció, mivel mindegyik beviteli mező valid adatot tartalmaz (DT-1 alapján)"
"passed","Sun Jul 03 17:30:54 GMT 2022","Sun Jul 03 17:30:55 GMT 2022","1100","","TestLogout","","TestLogout","successfulLogout","successfulLogout()",""
"passed","Sun Jul 03 17:30:55 GMT 2022","Sun Jul 03 17:30:56 GMT 2022","349","","TestArtists","","TestArtists","addArtistsRepeatedly","[2] BTOB, Cube",""
"passed","Sun Jul 03 17:30:55 GMT 2022","Sun Jul 03 17:30:55 GMT 2022","403","","TestArtists","","TestArtists","addArtistsRepeatedly","[1] iKON, YG",""
"passed","Sun Jul 03 17:32:10 GMT 2022","Sun Jul 03 17:32:13 GMT 2022","3370","","TestRegistration","","TestRegistration","unsuccessfulRegistration","Sikertelen regisztráció","Már regisztrált felhasználónévvel és email címmel történő regisztráció a DT-12 alapján"
"passed","Sun Jul 03 17:32:13 GMT 2022","Sun Jul 03 17:32:14 GMT 2022","416","","TestEntertainments","","TestEntertainments","verifyThatAllEntertainmentsAreDisplayed","verifyThatAllEntertainmentsAreDisplayed()",""
"passed","Sun Jul 03 17:31:00 GMT 2022","Sun Jul 03 17:31:00 GMT 2022","361","","TestAlbums","","TestAlbums","checkingPaginationNextButton","checkingPaginationNextButton()",""
"passed","Sun Jul 03 17:30:58 GMT 2022","Sun Jul 03 17:30:59 GMT 2022","354","","TestMyTranslation","","TestMyTranslation","deleteMyTranslation","deleteMyTranslation()",""
"passed","Sun Jul 03 17:30:57 GMT 2022","Sun Jul 03 17:30:57 GMT 2022","338","","TestArtists","","TestArtists","addArtistsRepeatedly","[7] GOT7, JYP",""
"passed","Sun Jul 03 17:30:58 GMT 2022","Sun Jul 03 17:30:58 GMT 2022","370","","TestArtists","","TestArtists","addArtistsRepeatedly","[9] DAY6, JYP",""
"passed","Sun Jul 03 17:30:59 GMT 2022","Sun Jul 03 17:30:59 GMT 2022","345","","TestMusics","","TestMusics","addNewMusic","addNewMusic()",""
"passed","Sun Jul 03 17:30:57 GMT 2022","Sun Jul 03 17:30:58 GMT 2022","333","","TestArtists","","TestArtists","addArtistsRepeatedly","[8] CLC, Cube",""
"passed","Sun Jul 03 17:32:13 GMT 2022","Sun Jul 03 17:32:13 GMT 2022","357","","TestHome","","TestHome","collectDataFromHomepage","collectDataFromHomepage()",""
