"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Jul 03 15:55:15 GMT 2022","Sun Jul 03 15:55:16 GMT 2022","884","","TestLogout","","TestLogout","successfulLogout","successfulLogout()",""
"passed","Sun Jul 03 15:56:30 GMT 2022","Sun Jul 03 15:56:30 GMT 2022","345","","TestEntertainments","","TestEntertainments","verifyThatAllEntertainmentsAreDisplayed","verifyThatAllEntertainmentsAreDisplayed()",""
"passed","Sun Jul 03 15:55:19 GMT 2022","Sun Jul 03 15:55:19 GMT 2022","353","","TestArtists","","TestArtists","addArtistsRepeatedly","[7] GOT7, JYP",""
"passed","Sun Jul 03 15:55:20 GMT 2022","Sun Jul 03 15:55:20 GMT 2022","324","","TestMyTranslation","","TestMyTranslation","deleteMyTranslation","deleteMyTranslation()",""
"passed","Sun Jul 03 15:55:19 GMT 2022","Sun Jul 03 15:55:19 GMT 2022","324","","TestArtists","","TestArtists","addArtistsRepeatedly","[8] CLC, Cube",""
"broken","Sun Jul 03 15:55:21 GMT 2022","Sun Jul 03 15:55:53 GMT 2022","32054","","TestLogin","","TestLogin","displayFailedLoginMessage","displayFailedLoginMessage()",""
"passed","Sun Jul 03 15:55:17 GMT 2022","Sun Jul 03 15:55:17 GMT 2022","341","","TestArtists","","TestArtists","addArtistsRepeatedly","[2] BTOB, Cube",""
"passed","Sun Jul 03 15:55:21 GMT 2022","Sun Jul 03 15:55:21 GMT 2022","330","","TestMusics","","TestMusics","modifyMusicDetails","modifyMusicDetails()",""
"passed","Sun Jul 03 15:55:18 GMT 2022","Sun Jul 03 15:55:18 GMT 2022","346","","TestArtists","","TestArtists","addArtistsRepeatedly","[5] Treasure, YG",""
"passed","Sun Jul 03 15:55:17 GMT 2022","Sun Jul 03 15:55:17 GMT 2022","331","","TestArtists","","TestArtists","addArtistsRepeatedly","[3] Winner, YG",""
"passed","Sun Jul 03 15:55:21 GMT 2022","Sun Jul 03 15:55:21 GMT 2022","327","","TestAlbums","","TestAlbums","checkingPaginationNextButton","checkingPaginationNextButton()",""
"passed","Sun Jul 03 15:55:16 GMT 2022","Sun Jul 03 15:55:17 GMT 2022","397","","TestArtists","","TestArtists","addArtistsRepeatedly","[1] iKON, YG",""
"passed","Sun Jul 03 15:56:30 GMT 2022","Sun Jul 03 15:56:30 GMT 2022","335","","TestHome","","TestHome","collectDataFromHomepage","collectDataFromHomepage()",""
"passed","Sun Jul 03 15:55:17 GMT 2022","Sun Jul 03 15:55:18 GMT 2022","388","","TestArtists","","TestArtists","addArtistsRepeatedly","[4] Pentagon, Cube",""
"passed","Sun Jul 03 15:55:20 GMT 2022","Sun Jul 03 15:55:21 GMT 2022","332","","TestMusics","","TestMusics","addNewMusic","addNewMusic()",""
"passed","Sun Jul 03 15:55:53 GMT 2022","Sun Jul 03 15:55:55 GMT 2022","1857","","TestLogin","","TestLogin","correctFailedLoginMessage","correctFailedLoginMessage()",""
"broken","Sun Jul 03 15:55:55 GMT 2022","Sun Jul 03 15:56:27 GMT 2022","31912","","TestRegistration","","TestRegistration","successfulRegistration","Sikeres regisztráció","Sikeres regisztráció, mivel mindegyik beviteli mező valid adatot tartalmaz (DT-1 alapján)"
"passed","Sun Jul 03 15:55:20 GMT 2022","Sun Jul 03 15:55:20 GMT 2022","333","","TestArtists","","TestArtists","addArtistsRepeatedly","[10] ONEUS, RBW Entertainment",""
"passed","Sun Jul 03 15:56:27 GMT 2022","Sun Jul 03 15:56:30 GMT 2022","2450","","TestRegistration","","TestRegistration","unsuccessfulRegistration","Sikertelen regisztráció","Már regisztrált felhasználónévvel és email címmel történő regisztráció a DT-12 alapján"
"passed","Sun Jul 03 15:55:18 GMT 2022","Sun Jul 03 15:55:19 GMT 2022","365","","TestArtists","","TestArtists","addArtistsRepeatedly","[6] (G)I-dle, Cube",""
"passed","Sun Jul 03 15:55:19 GMT 2022","Sun Jul 03 15:55:20 GMT 2022","330","","TestArtists","","TestArtists","addArtistsRepeatedly","[9] DAY6, JYP",""
