"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun Jul 03 18:25:30 GMT 2022","Sun Jul 03 18:25:30 GMT 2022","0","","TestLogin","","TestLogin","correctFailedLoginMessage","correctFailedLoginMessage()",""
"skipped","Sun Jul 03 18:26:09 GMT 2022","Sun Jul 03 18:26:09 GMT 2022","0","","TestHome","","TestHome","collectDataFromHomepage","collectDataFromHomepage()",""
"skipped","Sun Jul 03 18:25:30 GMT 2022","Sun Jul 03 18:25:30 GMT 2022","0","","TestMyTranslation","","TestMyTranslation","deleteMyTranslation","deleteMyTranslation()",""
"skipped","Sun Jul 03 18:25:30 GMT 2022","Sun Jul 03 18:25:30 GMT 2022","0","","TestLogin","","TestLogin","displayFailedLoginMessage","displayFailedLoginMessage()",""
"skipped","Sun Jul 03 18:25:30 GMT 2022","Sun Jul 03 18:25:30 GMT 2022","0","","TestMusics","","TestMusics","modifyMusicDetails","modifyMusicDetails()",""
"broken","Sun Jul 03 18:25:30 GMT 2022","Sun Jul 03 18:26:09 GMT 2022","38751","","TestRegistration","","TestRegistration","successfulRegistration","Sikeres regisztráció","Sikeres regisztráció, mivel mindegyik beviteli mező valid adatot tartalmaz (DT-1 alapján)"
"skipped","Sun Jul 03 18:26:09 GMT 2022","Sun Jul 03 18:26:09 GMT 2022","0","","TestEntertainments","","TestEntertainments","verifyThatAllEntertainmentsAreDisplayed","verifyThatAllEntertainmentsAreDisplayed()",""
"skipped","Sun Jul 03 18:25:30 GMT 2022","Sun Jul 03 18:25:30 GMT 2022","1","","TestLogout","","TestLogout","successfulLogout","successfulLogout()",""
"skipped","Sun Jul 03 18:25:30 GMT 2022","Sun Jul 03 18:25:30 GMT 2022","0","","TestAlbums","","TestAlbums","checkingPaginationNextButton","checkingPaginationNextButton()",""
"skipped","Sun Jul 03 18:25:30 GMT 2022","Sun Jul 03 18:25:30 GMT 2022","0","","TestMusics","","TestMusics","addNewMusic","addNewMusic()",""
