"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Bejelentkezés","","0","0","3","0","0"
"","Több oldalas lista bejárása","","0","0","2","0","0"
"","Regisztráció; Adatkezelési nyilatkozat használata","","0","0","1","1","0"
"","Adatok lementése felületről","","0","0","1","0","0"
"","Új adat bevitel; Meglévő adat módosítása","","0","2","0","0","0"
"","Adat vagy adatok törlése","","0","1","0","0","0"
"","Kijelentkezés","","0","0","1","0","0"
"","Adatok kilistázása","","0","0","1","0","0"
"","Ismételt és sorozatos adatbevitel adatforrásból","","0","0","0","1","0"
